transaction_id,card_id,timestamp,amount,merchant_category,country,card_present,is_fraud
txn_0000000,card_00606,2026-02-16T00:39:37Z,273.69,restaurant,DE,True,False
txn_0000001,card_00671,2026-02-11T16:39:49Z,197.76,utilities,GB,False,False
txn_0000002,card_00303,2026-02-14T22:14:04Z,20.38,grocery,GB,False,False
txn_0000003,card_00578,2026-03-01T13:52:11Z,169.94,online_retail,AE,True,False
txn_0000004,card_00893,2026-02-27T08:43:19Z,369.62,atm_withdrawal,SG,False,False
txn_0000005,card_00367,2026-02-14T03:33:33Z,30.62,pharmacy,AE,False,False
txn_0000006,card_00175,2026-02-11T05:10:16Z,43.32,utilities,DE,True,False
txn_0000007,card_00239,2026-03-02T14:24:44Z,186.27,pharmacy,IN,False,False
txn_0000008,card_00386,2026-02-03T10:53:50Z,609.86,online_retail,SG,True,False
txn_0000009,card_00674,2026-02-05T20:46:51Z,30.26,travel,US,True,False
txn_0000010,card_00685,2026-02-16T15:00:53Z,218.69,online_retail,US,False,False
txn_0000012,card_00172,2026-02-02T08:08:03Z,167.34,grocery,SG,False,False
txn_0000013,card_00864,2026-02-07T13:17:54Z,7.11,online_retail,SG,True,False
txn_0000014,card_00281,2026-02-13T11:56:13Z,90.48,pharmacy,GB,True,False
txn_0000015,card_00179,2026-02-08T03:01:24Z,98.9,entertainment,US,False,False
txn_0000016,card_00579,2026-02-04T01:58:29Z,73.36,online_retail,AE,True,False
txn_0000017,card_00219,2026-02-01T19:43:16Z,28.49,travel,SG,True,False
txn_0000018,card_00367,2026-02-06T02:14:50Z,59.82,online_retail,AE,False,False
txn_0000019,card_00444,2026-02-15T06:52:17Z,193.94,online_retail,GB,False,False
txn_0000020,card_00269,2026-02-02T09:54:08Z,178.63,pharmacy,GB,True,False
txn_0000021,card_00248,2026-02-28T10:50:08Z,33.85,entertainment,IN,False,False
txn_0000022,card_00612,2026-02-18T20:07:23Z,3.77,utilities,DE,False,False
txn_0000023,card_00891,2026-02-23T22:38:06Z,54.87,grocery,US,False,False
txn_0000024,card_00380,2026-02-20T22:01:59Z,28.86,travel,DE,False,False
txn_0000025,card_00485,2026-02-23T09:58:43Z,8.58,fuel,GB,True,False
txn_0000026,card_00318,2026-02-01T20:29:46Z,139.26,travel,DE,True,False
txn_0000027,card_00678,2026-03-01T20:47:49Z,28.05,restaurant,AE,True,False
txn_0000028,card_00717,2026-02-05T14:03:48Z,75.48,pharmacy,DE,False,False
txn_0000029,card_00079,2026-02-01T21:17:02Z,28.68,online_retail,GB,True,False
txn_0000030,card_00870,2026-02-11T19:45:10Z,197.17,pharmacy,SG,True,False
txn_0000031,card_00585,2026-02-23T18:32:00Z,76.09,restaurant,GB,False,False
txn_0000032,card_00423,2026-02-28T12:32:23Z,46.63,pharmacy,SG,True,False
txn_0000033,card_00196,2026-02-14T22:54:38Z,440.06,entertainment,GB,False,False
txn_0000034,card_00521,2026-02-19T20:58:34Z,137.11,restaurant,IN,False,False
txn_0000035,card_00286,2026-02-04T09:58:17Z,121.0,utilities,AE,False,False
txn_0000036,card_00635,2026-03-02T14:25:05Z,45.34,grocery,AE,False,False
txn_0000037,card_00503,2026-02-28T14:44:14Z,52.15,electronics,IN,True,False
txn_0000038,card_00460,2026-02-01T10:32:54Z,58.58,electronics,GB,False,False
txn_0000039,card_00559,2026-02-21T04:34:02Z,65.5,travel,IN,False,False
txn_0000040,card_00467,2026-02-12T08:48:48Z,103.3,travel,AE,False,False
txn_0000041,card_00151,2026-02-28T17:56:13Z,7.75,atm_withdrawal,SG,False,False
txn_0000042,card_00090,2026-02-24T21:36:03Z,492.01,fuel,US,True,False
txn_0000043,card_00814,2026-02-09T06:58:11Z,60.02,electronics,IN,False,False
txn_0000044,card_00207,2026-02-17T07:19:12Z,7.69,restaurant,AE,True,False
txn_0000045,card_00234,2026-02-02T03:59:25Z,31.3,electronics,IN,False,False
txn_0000046,card_00812,2026-02-20T06:24:13Z,50.13,atm_withdrawal,IN,False,False
txn_0000047,card_00880,2026-02-13T05:09:12Z,37.09,grocery,GB,False,False
txn_0000048,card_00720,2026-02-05T16:04:09Z,64.09,travel,IN,True,False
txn_0000049,card_00518,2026-02-11T10:14:58Z,67.18,utilities,SG,False,False
txn_0000050,card_00457,2026-02-06T13:40:25Z,178.98,restaurant,AE,False,False
txn_0000051,card_00492,2026-02-14T01:25:03Z,26.25,travel,DE,False,False
txn_0000052,card_00181,2026-02-04T01:52:21Z,365.71,online_retail,IN,False,False
txn_0000053,card_00776,2026-02-22T08:38:20Z,491.41,entertainment,GB,False,False
txn_0000054,card_00194,2026-02-17T17:40:14Z,87.81,atm_withdrawal,GB,False,False
txn_0000055,card_00817,2026-02-19T16:52:22Z,16.17,grocery,IN,True,False
txn_0000056,card_00383,2026-02-20T20:04:16Z,41.46,electronics,SG,True,False
txn_0000057,card_00294,2026-02-16T06:34:51Z,17.86,restaurant,IN,True,False
txn_0000058,card_00048,2026-02-22T12:01:50Z,13.83,pharmacy,US,False,False
txn_0000059,card_00623,2026-02-10T18:21:58Z,41.78,fuel,AE,True,False
txn_0000060,card_00615,2026-03-02T13:27:43Z,57.99,atm_withdrawal,US,True,False
txn_0000061,card_00428,2026-02-16T18:10:22Z,22.84,fuel,GB,True,False
txn_0000062,card_00729,2026-03-01T10:07:20Z,57.93,utilities,DE,True,False
txn_0000063,card_00411,2026-02-26T03:15:24Z,95.77,online_retail,US,True,False
txn_0000064,card_00090,2026-02-22T19:42:21Z,14.91,grocery,IN,True,False
txn_0000065,card_00029,2026-02-26T22:43:46Z,59.04,pharmacy,SG,False,False
txn_0000066,card_00453,2026-02-16T08:27:30Z,31.41,atm_withdrawal,IN,True,False
txn_0000067,card_00186,2026-02-22T06:34:04Z,122.17,pharmacy,IN,False,False
txn_0000068,card_00636,2026-02-27T21:16:33Z,104.26,fuel,GB,False,False
txn_0000069,card_00261,2026-02-14T01:20:39Z,176.55,electronics,IN,True,False
txn_0000070,card_00178,2026-02-08T21:19:32Z,101.65,online_retail,AE,False,False
txn_0000071,card_00136,2026-02-04T02:42:59Z,204.68,entertainment,AE,True,False
txn_0000072,card_00760,2026-03-02T14:35:53Z,128.26,travel,AE,False,False
txn_0000073,card_00388,2026-02-18T07:44:31Z,39.39,fuel,AE,True,False
txn_0000074,card_00691,2026-02-28T01:43:33Z,220.89,electronics,SG,True,False
txn_0000075,card_00266,2026-02-17T04:21:56Z,495.9,restaurant,AE,True,False
txn_0000076,card_00122,2026-02-08T00:08:50Z,227.54,pharmacy,AE,True,False
txn_0000077,card_00172,2026-02-02T17:43:24Z,41.16,pharmacy,US,True,False
txn_0000078,card_00743,2026-02-04T05:38:17Z,26.26,atm_withdrawal,US,False,False
txn_0000079,card_00390,2026-02-11T05:53:38Z,51.53,electronics,IN,False,False
txn_0000080,card_00639,2026-02-25T18:18:14Z,68.84,atm_withdrawal,GB,True,False
txn_0000081,card_00101,2026-02-03T17:49:48Z,71.35,restaurant,IN,True,False
txn_0000082,card_00388,2026-02-06T09:52:56Z,36.92,travel,SG,False,False
txn_0000083,card_00449,2026-02-18T02:35:05Z,151.36,restaurant,IN,True,False
txn_0000084,card_00833,2026-02-11T04:31:39Z,207.92,grocery,US,True,False
txn_0000085,card_00181,2026-02-28T22:04:05Z,82.92,fuel,US,False,False
txn_0000086,card_00368,2026-02-02T21:07:48Z,17.1,restaurant,SG,True,False
txn_0000087,card_00453,2026-02-12T16:20:07Z,124.77,entertainment,US,True,False
txn_0000088,card_00384,2026-02-20T21:56:21Z,238.38,online_retail,DE,True,False
txn_0000089,card_00641,2026-02-04T19:36:50Z,97.35,grocery,GB,True,True
txn_0000090,card_00854,2026-02-09T02:23:29Z,360.72,entertainment,US,False,False
txn_0000091,card_00006,2026-02-21T02:29:21Z,241.52,pharmacy,SG,False,False
txn_0000092,card_00887,2026-02-06T19:05:47Z,270.82,pharmacy,IN,True,True
txn_0000093,card_00358,2026-02-07T12:47:04Z,158.17,restaurant,US,True,False
txn_0000094,card_00245,2026-02-21T14:51:51Z,108.48,utilities,US,True,False
txn_0000095,card_00683,2026-02-23T15:14:01Z,21.27,atm_withdrawal,IN,True,False
txn_0000096,card_00177,2026-02-08T12:29:32Z,17.97,electronics,IN,False,False
txn_0000097,card_00053,2026-02-11T06:58:11Z,19.73,electronics,AE,True,False
txn_0000098,card_00354,2026-03-01T01:03:38Z,126.67,pharmacy,IN,True,False
txn_0000099,card_00362,2026-02-12T08:27:04Z,271.08,utilities,AE,True,False
txn_0000100,card_00638,2026-03-01T23:38:29Z,261.64,travel,DE,True,False
txn_0000101,card_00228,2026-02-17T10:40:56Z,22.43,atm_withdrawal,GB,False,False
txn_0000102,card_00225,2026-02-17T19:02:38Z,538.78,electronics,IN,True,False
txn_0000103,card_00546,2026-03-02T08:06:41Z,38.69,entertainment,SG,False,False
txn_0000104,card_00773,2026-02-07T19:53:32Z,10.02,restaurant,IN,True,False
txn_0000105,card_00132,2026-02-14T12:59:18Z,374.68,restaurant,US,False,False
